study_id,study_name,trial_id,trial_number,param_name,param_value,value
1,disaster_third,1,0,batch_size,0,0.7426326129666011
1,disaster_third,1,0,learning_rate,0.000003838412200274638,0.7426326129666011
1,disaster_third,1,0,num_epochs,1,0.7426326129666011
2,disaster_2,3,1,batch_size,0,0.7678244972577697
2,disaster_2,3,1,dropout_rate,0.4272247447364871,0.7678244972577697
2,disaster_2,3,1,learning_rate,0.000010738463038384475,0.7678244972577697
2,disaster_2,3,1,lr_scheduler_type,2,0.7678244972577697
2,disaster_2,3,1,num_epochs,3,0.7678244972577697
2,disaster_2,3,1,weight_decay,0.08696520228659972,0.7678244972577697
8,disaster_4,9,0,batch_size,2,0.7533432392273403
8,disaster_4,9,0,dropout_rate,0.12803470394114358,0.7533432392273403
8,disaster_4,9,0,learning_rate,0.00000655273279351668,0.7533432392273403
8,disaster_4,9,0,lr_scheduler_type,1,0.7533432392273403
8,disaster_4,9,0,num_epochs,9,0.7533432392273403
8,disaster_4,9,0,weight_decay,0.0822483383846765,0.7533432392273403
8,disaster_4,10,1,batch_size,0,0.7669039145907474
8,disaster_4,10,1,dropout_rate,0.24031458528392055,0.7669039145907474
8,disaster_4,10,1,learning_rate,0.000004469034458027671,0.7669039145907474
8,disaster_4,10,1,lr_scheduler_type,3,0.7669039145907474
8,disaster_4,10,1,num_epochs,10,0.7669039145907474
8,disaster_4,10,1,weight_decay,0.04960231170186551,0.7669039145907474
8,disaster_4,11,2,batch_size,0,0.7335423197492164
8,disaster_4,11,2,dropout_rate,0.18720547674041682,0.7335423197492164
8,disaster_4,11,2,learning_rate,0.000023656720873799207,0.7335423197492164
8,disaster_4,11,2,lr_scheduler_type,1,0.7335423197492164
8,disaster_4,11,2,num_epochs,6,0.7335423197492164
8,disaster_4,11,2,weight_decay,0.02249594419860508,0.7335423197492164
8,disaster_4,12,3,batch_size,2,0.7478559176672384
8,disaster_4,12,3,dropout_rate,0.22230894622997932,0.7478559176672384
8,disaster_4,12,3,learning_rate,0.000052701940337051276,0.7478559176672384
8,disaster_4,12,3,lr_scheduler_type,1,0.7478559176672384
8,disaster_4,12,3,num_epochs,10,0.7478559176672384
8,disaster_4,12,3,weight_decay,0.059269496758800326,0.7478559176672384
8,disaster_4,13,4,batch_size,2,0.7777777777777779
8,disaster_4,13,4,dropout_rate,0.338193347556866,0.7777777777777779
8,disaster_4,13,4,learning_rate,0.000009714796730426122,0.7777777777777779
8,disaster_4,13,4,lr_scheduler_type,0,0.7777777777777779
8,disaster_4,13,4,num_epochs,6,0.7777777777777779
8,disaster_4,13,4,weight_decay,0.07299751816970888,0.7777777777777779
